TransactionID,CustomerID,Product,Category,Quantity,Price,TransactionDate,Region
TXN00070,CUST0036,Keyboard,Electronics,4,201.86,16/02/2021,East
TXN00071,CUST0050,Laptop,,1,920.26,2022-10-07,
TXN00072,CUST0004,Camera,Accessories,1,372.06,29/04/2021,North
TXN00073,CUST0002,Keyboard,Electronics,4,254.63,29/09/2022,East
TXN00074,CUST0006,Mouse,Gadgets,3,183.34,04/05/2021,West
TXN00075,CUST0054,Keyboard,,2,86.3,23/07/2021,West
TXN00076,CUST0004,Camera,Gadgets,4,1205.33,15/07/2022,South
TXN00077,CUST0054,Headphones,,1,995.81,31/03/2022,West
TXN00078,CUST0093,Mouse,Electronics,3,1144.3,14/11/2022,South
TXN00079,CUST0063,Monitor,Gadgets,4,1499.97,12/05/2021,East
TXN00080,CUST0018,Tablet,Accessories,4,28.33,02/10/2022,South
TXN00081,CUST0090,Mouse,Electronics,3,491.08,23/10/2021,East
TXN00082,CUST0044,Keyboard,Gadgets,4,1678.44,30/09/2021,West
TXN00083,CUST0034,Tablet,Accessories,3,1227.21,15/01/2021,North
TXN00084,CUST0074,Smartphone,Electronics,2,1957.86,21/10/2022,South
TXN00085,CUST0062,Tablet,Gadgets,3,771.86,12/09/2021,West
TXN00086,CUST0100,Mouse,Accessories,3,235.5,06/04/2022,
TXN00087,CUST0014,Keyboard,Electronics,3,1666.59,16/05/2021,South
TXN00088,CUST0095,Laptop,Electronics,4,692.73,08/05/2022,South
TXN00089,CUST0048,Mouse,Electronics,4,788.45,29/11/2021,
TXN00090,CUST0015,Smartphone,Gadgets,3,613.0,15/11/2022,West
TXN00091,CUST0072,Mouse,,4,1741.35,20/02/2022,North
TXN00092,CUST0078,Mouse,Gadgets,1,786.29,19/12/2022,
TXN00093,CUST0087,Laptop,Accessories,1,1793.58,03/05/2022,East
TXN00094,CUST0062,Keyboard,Electronics,4,333.61,13/11/2022,East
TXN00095,CUST0040,Camera,Electronics,4,110.45,31/12/2021,
TXN00096,CUST0085,Mouse,Gadgets,3,142.13,2021-06-12,North
TXN00097,CUST0080,Headphones,Electronics,2,562.02,13/09/2022,North
TXN00098,CUST0082,Monitor,Accessories,4,504.32,09/04/2021,East
TXN00099,CUST0053,Monitor,,1,24.24,21/05/2022,East
TXN00100,CUST0024,Smartphone,Electronics,3,491.52,16/02/2021,South
TXN00101,CUST0026,Keyboard,Accessories,4,413.3,15/05/2021,East
TXN00102,CUST0089,Camera,Accessories,1,1540.98,06/05/2021,South
TXN00103,CUST0060,Smartphone,Accessories,1,609.29,17/07/2021,North
TXN00104,CUST0041,Keyboard,,2,717.75,28/07/2021,South
TXN00105,CUST0029,Tablet,Electronics,3,1436.66,15/09/2021,South
TXN00106,CUST0015,Tablet,Accessories,3,922.12,04/01/2022,
TXN00107,CUST0045,Keyboard,Gadgets,2,1992.78,2021-01-10,
TXN00108,CUST0065,Smartphone,Gadgets,2,265.77,15/05/2022,South
TXN00109,CUST0089,Laptop,Electronics,3,433.96,27/05/2021,South
TXN00110,CUST0071,Keyboard,Gadgets,3,433.75,2022-08-24,
TXN00111,CUST0009,Smartphone,,4,731.27,24/02/2022,South
TXN00112,CUST0088,Tablet,Accessories,4,1028.17,23/10/2022,East
TXN00113,CUST0001,Mouse,,2,242.23,11/10/2022,North
TXN00114,CUST0008,Smartphone,Accessories,4,644.61,18/02/2021,North
TXN00115,CUST0088,Headphones,Accessories,1,1192.09,13/06/2022,
TXN00116,CUST0063,Monitor,,4,1835.15,24/05/2021,West
TXN00117,CUST0011,Camera,Accessories,4,1820.91,09/11/2021,East
TXN00118,CUST0081,Keyboard,,1,391.81,11/08/2022,
TXN00119,CUST0008,Laptop,Electronics,2,630.69,25/03/2022,West
TXN00120,CUST0035,Keyboard,Accessories,1,170.72,31/03/2022,South
TXN00121,CUST0035,Camera,,4,1852.81,10/08/2021,North
TXN00122,CUST0033,Camera,Electronics,2,1418.15,03/11/2021,East
TXN00123,CUST0005,Monitor,,4,859.91,28/09/2022,
TXN00124,CUST0041,Monitor,Gadgets,1,588.79,08/06/2022,East
TXN00125,CUST0028,Smartphone,Gadgets,1,727.3,28/10/2022,West
TXN00126,CUST0007,Mouse,Electronics,4,1171.37,15/06/2022,East
TXN00127,CUST0073,Headphones,Gadgets,3,1922.44,20/09/2022,West
TXN00128,CUST0072,Smartphone,Gadgets,3,482.2,11/05/2021,South
TXN00129,CUST0012,Smartphone,,1,1055.89,30/12/2022,North
TXN00130,CUST0034,Keyboard,Electronics,1,233.99,02/05/2021,West
TXN00131,CUST0033,Mouse,Accessories,3,579.91,01/09/2022,
TXN00132,CUST0048,Tablet,Gadgets,3,1862.07,12/11/2021,East
TXN00133,CUST0023,Camera,Accessories,4,1944.39,07/11/2022,
TXN00134,CUST0062,Headphones,Gadgets,4,824.87,13/10/2021,North
TXN00135,CUST0088,Laptop,Gadgets,3,1369.61,2021-07-16,South
TXN00136,CUST0037,Smartphone,Accessories,4,151.03,16/08/2021,East
TXN00137,CUST0099,Mouse,Accessories,4,1289.75,13/08/2022,West
TXN00138,CUST0044,Headphones,,2,1610.58,22/02/2022,West
TXN00139,CUST0086,Smartphone,Electronics,4,1600.13,27/04/2021,West
TXN00140,CUST0091,Mouse,Accessories,1,816.65,23/10/2021,West
TXN00141,CUST0035,Mouse,,4,24.21,18/10/2022,South
TXN00142,CUST0065,Monitor,Accessories,4,1675.93,10/02/2022,North
TXN00143,CUST0099,Keyboard,Gadgets,3,1433.53,21/05/2022,North
TXN00144,CUST0047,Headphones,Accessories,1,1765.72,02/11/2022,
TXN00145,CUST0078,Keyboard,Gadgets,4,1096.04,28/03/2022,
TXN00146,CUST0003,Laptop,Electronics,4,1846.13,26/01/2021,North
TXN00147,CUST0001,Smartphone,Gadgets,2,1310.03,02/09/2021,East
TXN00148,CUST0005,Smartphone,Accessories,4,1969.27,25/01/2022,East
TXN00149,CUST0090,Monitor,Accessories,4,50.92,24/09/2021,
TXN00150,CUST0014,Mouse,Gadgets,2,489.07,17/06/2021,
TXN00151,CUST0027,Tablet,,3,1219.6,14/01/2022,North
TXN00152,CUST0009,Laptop,Accessories,4,976.92,02/08/2021,West
TXN00153,CUST0079,Headphones,,2,43.44,03/06/2022,East
TXN00154,CUST0015,Keyboard,Accessories,1,220.9,27/02/2022,
TXN00155,CUST0090,Monitor,,3,1479.38,25/10/2021,East
TXN00156,CUST0042,Camera,Accessories,1,1125.1,20/01/2022,North
TXN00157,CUST0077,Monitor,,1,757.86,18/02/2021,
TXN00158,CUST0051,Monitor,Accessories,2,911.94,15/08/2022,West
TXN00159,CUST0063,Keyboard,Electronics,4,674.1,19/05/2021,West
TXN00160,CUST0096,Camera,Electronics,2,991.55,14/05/2021,East
TXN00161,CUST0052,Camera,,2,1452.73,21/07/2021,West
TXN00162,CUST0096,Smartphone,Electronics,2,1951.84,11/05/2022,
TXN00163,CUST0004,Camera,Electronics,2,1698.73,17/03/2021,East
TXN00164,CUST0094,Smartphone,Electronics,3,412.91,20/01/2022,East
TXN00165,CUST0023,Monitor,Gadgets,4,1877.55,16/01/2021,South
TXN00166,CUST0015,Smartphone,Gadgets,1,1447.15,16/04/2022,
TXN00167,CUST0043,Mouse,Electronics,1,1752.82,13/11/2021,East
TXN00168,CUST0029,Smartphone,,4,1723.78,23/06/2021,South
TXN00169,CUST0036,Keyboard,Gadgets,1,1840.32,06/04/2021,West
TXN00170,CUST0013,Headphones,Electronics,4,1725.4,08/06/2021,South
TXN00171,CUST0032,Monitor,Accessories,1,268.43,30/03/2022,
TXN00172,CUST0071,Keyboard,Accessories,2,911.16,26/12/2022,West
TXN00173,CUST0059,Keyboard,Accessories,1,855.85,2022-07-23,North
TXN00174,CUST0086,Mouse,,4,1885.97,2022-07-19,North
TXN00175,CUST0028,Keyboard,Electronics,4,502.52,04/11/2022,
TXN00176,CUST0066,Monitor,Electronics,4,1695.23,27/06/2022,North
TXN00177,CUST0042,Tablet,Electronics,4,1695.51,07/09/2021,West
TXN00178,CUST0045,Smartphone,Electronics,4,360.18,08/03/2021,North
TXN00179,CUST0062,Headphones,Accessories,3,91.62,29/08/2021,South
TXN00180,CUST0057,Laptop,,3,1799.92,21/06/2022,South
TXN00181,CUST0006,Keyboard,Accessories,1,1404.38,17/09/2021,South
TXN00182,CUST0028,Mouse,Accessories,4,908.94,08/03/2021,South
TXN00183,CUST0028,Smartphone,Electronics,1,989.61,05/11/2022,South
TXN00184,CUST0044,Headphones,Electronics,4,1289.29,22/02/2021,West
TXN00185,CUST0084,Headphones,Electronics,4,1938.59,08/06/2021,North
TXN00186,CUST0030,Tablet,,3,651.45,22/03/2022,East
TXN00187,CUST0062,Monitor,Gadgets,3,764.87,16/10/2022,West
TXN00188,CUST0075,Monitor,Gadgets,2,1843.72,02/08/2022,
TXN00189,CUST0092,Keyboard,Accessories,3,561.91,02/04/2022,South
TXN00190,CUST0089,Smartphone,Electronics,2,1780.32,01/06/2021,East
TXN00191,CUST0062,Headphones,Electronics,2,1267.04,20/11/2022,East
TXN00192,CUST0097,Tablet,Accessories,2,828.63,08/01/2022,South
TXN00193,CUST0001,Keyboard,Gadgets,2,1314.04,2022-11-13,North
TXN00194,CUST0027,Laptop,Accessories,2,509.89,11/02/2021,North
TXN00195,CUST0062,Mouse,,1,1802.42,01/11/2022,East
TXN00196,CUST0077,Headphones,Gadgets,3,1597.12,11/07/2022,West
TXN00197,CUST0003,Keyboard,Gadgets,2,1357.86,06/08/2022,West
TXN00198,CUST0070,Smartphone,Gadgets,4,714.29,07/02/2021,South
TXN00199,CUST0072,Mouse,Accessories,3,1894.58,19/04/2022,North
TXN00200,CUST0027,Smartphone,Electronics,3,722.11,26/04/2021,North
TXN00096,CUST0085,Mouse,Gadgets,3,142.13,2021-06-12,North
TXN00016,CUST0053,Mouse,,4,412.34,30/10/2021,East
TXN00031,CUST0091,Smartphone,,1,752.92,26/04/2021,South
TXN00159,CUST0063,Keyboard,Electronics,4,674.1,19/05/2021,West
TXN00129,CUST0012,Smartphone,,1,1055.89,30/12/2022,North
